Symbol,Timestamp,Open,High,Low,Close,Volume,VWAP
GOOGL,2022-11-14 05:00:00 UTC,95.09,96.79,94.51,95.7,35119328,95.661623
GOOGL,2022-11-15 05:00:00 UTC,98.26,100.14,96.71,98.44,46355708,98.481212
GOOGL,2022-11-16 05:00:00 UTC,97.9,99.6375,97.64,98.85,32667879,98.737722
GOOGL,2022-11-17 05:00:00 UTC,96.97,99.28,96.79,98.36,29162490,98.026493
GOOGL,2022-11-18 05:00:00 UTC,98.77,98.9,96.37,97.43,33187095,97.564708
GOOGL,2022-11-21 05:00:00 UTC,97.29,98.4,95.355,95.6,25143036,96.160147
GOOGL,2022-11-22 05:00:00 UTC,95.95,97.22,94.05,97.05,27257606,96.285471
GOOGL,2022-11-23 05:00:00 UTC,97.09,98.76,97.09,98.46,21285403,98.113268
GOOGL,2022-11-25 05:00:00 UTC,98.24,98.64,97.4,97.46,11161000,97.733678
GOOGL,2022-11-28 05:00:00 UTC,97.0363,97.58,95.61,96.05,31644543,96.187357
GOOGL,2022-11-29 05:00:00 UTC,95.73,96.12,94.11,95.19,22388911,95.195511
GOOGL,2022-11-30 05:00:00 UTC,94.82,101.04,94.42,100.99,52540207,99.374232
GOOGL,2022-12-01 05:00:00 UTC,101.02,102.25,100.25,100.99,35110988,101.084524
GOOGL,2022-12-02 05:00:00 UTC,99.05,100.77,98.9,100.44,23884698,99.953333
GOOGL,2022-12-05 05:00:00 UTC,99.4,101.38,99,99.48,27457664,99.954673
GOOGL,2022-12-06 05:00:00 UTC,99.3,99.78,96.42,96.98,28230476,97.341305
GOOGL,2022-12-07 05:00:00 UTC,96.41,96.8811,94.715,94.94,36576012,95.287314
GOOGL,2022-12-08 05:00:00 UTC,95.38,95.58,93.45,93.71,35359625,94.059374
GOOGL,2022-12-09 05:00:00 UTC,93.77,94.26,92.75,92.83,31756579,93.397623
GOOGL,2022-12-12 05:00:00 UTC,92.71,93.56,91.61,93.31,33297446,92.728378
GOOGL,2022-12-13 05:00:00 UTC,97.76,99.53,95.03,95.63,45140016,96.73004
GOOGL,2022-12-14 05:00:00 UTC,95.2,96.87,93.6,95.07,31890889,95.378192
GOOGL,2022-12-15 05:00:00 UTC,93.13,93.64,90.01,90.86,45143250,91.082823
GOOGL,2022-12-16 05:00:00 UTC,90.76,91.33,89.52,90.26,84144765,90.332475
GOOGL,2022-12-19 05:00:00 UTC,90.255,90.56,88.21,88.44,33146650,89.004225
GOOGL,2022-12-20 05:00:00 UTC,88.11,89.175,87.4401,89.02,26190325,88.646975
GOOGL,2022-12-21 05:00:00 UTC,89.08,90.22,88.32,89.58,29682843,89.534352
GOOGL,2022-12-22 05:00:00 UTC,88.16,88.54,86.32,87.76,31634643,87.440124
GOOGL,2022-12-23 05:00:00 UTC,87.11,89.545,87.07,89.23,25222960,88.886273
GOOGL,2022-12-27 05:00:00 UTC,88.795,88.94,87.01,87.39,22456258,87.63973
GOOGL,2022-12-28 05:00:00 UTC,86.98,88.04,85.94,86.02,21565497,86.461614
GOOGL,2022-12-29 05:00:00 UTC,86.62,88.845,86.61,88.45,26836109,88.263468
GOOGL,2022-12-30 05:00:00 UTC,86.98,88.3,86.57,88.23,28023292,87.648589
GOOGL,2023-01-03 05:00:00 UTC,89.585,91.05,88.52,89.12,33269171,89.298494
GOOGL,2023-01-04 05:00:00 UTC,90.35,90.65,87.271,88.08,39823023,88.230188
GOOGL,2023-01-05 05:00:00 UTC,87.47,87.57,85.9,86.2,31635307,86.503201
