symbol,date,open,high,low,close,volume,ema,atr,bb_middle,bb_upper,bb_lower,bb_width,volatility,obv,macd_12_26,macd_signal_12_26_9
MSFT,2024-01-31 05:00:00 UTC,406.96,415.32,397.21,390.379,47871097.0,393.47205953382996,6.6232412285536935,390.379,417.3366360825287,363.42136391747135,0.13811007294208277,1.6658889351963615,98102932.0,8.440362291741849,0.0
MSFT,2024-02-01 05:00:00 UTC,401.83,408.0,401.8,392.038,30657726.0,394.4537681496557,6.894438283657002,392.038,417.93343556610023,366.1425644338998,0.13210676294696033,1.707473942160831,128760658.0,8.220500259438495,0.0
MSFT,2024-02-02 05:00:00 UTC,403.81,412.65,403.56,394.202,28227070.0,396.0505521354027,7.051264120538643,394.202,418.8203590885071,369.5836409114929,0.12490225360859193,1.7147181850441715,156987728.0,8.548067040289936,0.0
MSFT,2024-02-05 05:00:00 UTC,409.9,411.16,403.99,396.09700000000004,25352286.0,396.96478526536436,7.064030969071598,396.09700000000004,417.804772171085,374.38922782891507,0.10960836447175801,1.7414103214770364,131635442.0,8.262963326822614,0.0
MSFT,2024-02-06 05:00:00 UTC,405.88,407.97,402.91,397.63700000000006,18382624.0,397.77671047818677,6.920885899852197,397.63700000000006,417.21608024290333,378.0579197570968,0.09847715500772448,1.7067957039266561,113252818.0,7.932663114541128,0.0
MSFT,2024-02-07 05:00:00 UTC,407.44,414.3,407.4,399.55,22340526.0,399.32654757550233,7.055822621291326,399.55,417.55450586878453,381.5454941312155,0.09012391875251918,1.7040991719095098,135593344.0,8.266329180536616,0.0
MSFT,2024-02-08 05:00:00 UTC,414.05,415.56,412.53,401.117,21225257.0,400.7344954254545,6.768263862627662,401.117,418.41370501022305,383.820294989777,0.0862426923327759,1.6344120795507622,156818601.0,8.438331606253485,0.0
MSFT,2024-02-09 05:00:00 UTC,415.25,420.82,415.09,402.913,22032844.0,402.62168633731596,6.764102158154256,402.913,420.4592937757039,385.36670622429614,0.08709718363867075,1.6083942832372502,178851445.0,8.990660212085686,0.0
MSFT,2024-02-12 05:00:00 UTC,420.555,420.74,414.75,404.2525,21202921.0,403.8253352575716,6.708809146857525,404.2525,421.23767604451905,387.26732395548095,0.0840325096048586,1.61556835400894,157648524.0,8.89894433104729,0.0
MSFT,2024-02-13 05:00:00 UTC,404.94,410.071,403.39,405.055,27824936.0,404.06292237589815,7.077465636367703,405.055,420.72421957550563,389.3857804244944,0.0773683552875813,1.7418452540775013,129823588.0,8.012512295122121,0.0
MSFT,2024-02-14 05:00:00 UTC,408.07,409.84,404.57,406.05600000000004,20401190.0,404.57978691152687,6.948360948055723,406.05600000000004,419.9955543234706,392.11644567652945,0.0686582851797318,1.696832877006941,150224778.0,7.479581072729161,0.0
MSFT,2024-02-15 05:00:00 UTC,408.14,409.13,404.29,406.69050000000004,21825525.0,404.7683786342386,6.823478023194599,406.69050000000004,419.3950925803123,393.9859074196878,0.0624779412369467,1.6783446534815523,128399253.0,6.743072780851776,0.0
MSFT,2024-02-16 05:00:00 UTC,407.96,408.29,403.44,406.96000000000004,22296495.0,404.7009140024064,6.682515307252129,406.96000000000004,419.16716097000096,394.7528390299991,0.05999194500688484,1.653842327192033,106102758.0,5.889762036151808,0.0
MSFT,2024-02-20 05:00:00 UTC,403.24,404.49,398.01,407.274,24307915.0,404.5189221926534,6.668049928162693,407.274,418.6437167487811,395.9042832512189,0.05583325598383946,1.6554656094150035,81794843.0,5.052783395305369,0.0
MSFT,2024-02-21 05:00:00 UTC,400.17,402.29,397.22,407.438,18631072.0,404.29616769811497,6.589617790436786,407.438,418.385931503744,396.49006849625596,0.053740355606222444,1.6384747601662901,63163771.0,4.290788353100254,0.0
MSFT,2024-02-22 05:00:00 UTC,410.19,412.83,408.57,407.89250000000004,27009869.0,404.99653267924685,6.879645091119871,407.89250000000004,418.7420585648808,397.0429414351193,0.05319812727559706,1.6712365094424562,90173640.0,4.400327412875754,0.0
MSFT,2024-02-23 05:00:00 UTC,415.67,415.86,408.97,408.16600000000005,16295879.0,405.5054343288424,6.880384727468451,408.16600000000005,418.97043456715505,397.36156543284505,0.05294137467184919,1.6767521390720992,73877761.0,4.3315010077097895,0.0
MSFT,2024-02-26 05:00:00 UTC,411.455,412.16,407.36,408.3465,16193505.0,405.69920248800025,6.731785818363562,408.3465,418.97210616228244,397.72089383771754,0.05204210719221275,1.6518098391234142,57684256.0,4.004853527790999,0.0
MSFT,2024-02-27 05:00:00 UTC,407.99,408.32,403.85,408.2345,14835827.0,405.86880225104784,6.570229688480448,408.2345,418.84636123861003,397.62263876139,0.051989046680817046,1.612405440384914,42848429.0,3.6985074563129388,0.0
MSFT,2024-02-28 05:00:00 UTC,408.175,409.3,405.3201,408.19100000000003,13183125.0,406.0451067985671,6.385206139303272,408.19100000000003,418.8038579414009,397.57814205859916,0.05199947054884049,1.5660762629508662,56031554.0,3.43548979397184,0.0
MSFT,2024-02-29 05:00:00 UTC,408.64,414.2,405.92,408.994,31947263.0,406.76842996060833,6.520548557924465,408.994,418.60986058223534,399.3781394177647,0.04702201294999591,1.5763824963553972,87978817.0,3.662521656308968,0.0
MSFT,2024-03-01 05:00:00 UTC,411.27,415.87,410.88,409.58000000000004,17823445.0,407.600008059598,6.411223660929861,409.58000000000004,419.2860154977339,399.8739845022662,0.047394968004950716,1.5430141181539978,105802262.0,3.947033552370044,0.0
MSFT,2024-03-04 05:00:00 UTC,413.44,417.35,412.32,409.76500000000004,17595956.0,408.2971501491601,6.312564828006302,409.76500000000004,419.7399528425287,399.7900471574714,0.048686212060711075,1.5213932391801557,88206306.0,4.078693487433611,0.0
MSFT,2024-03-05 05:00:00 UTC,413.96,414.25,400.64,409.61500000000007,26923077.0,407.75932632543055,6.8816673402915685,409.61500000000007,419.9347664192323,399.29523358076784,0.050387639218447675,1.7090940867481856,61283229.0,3.156561601942883,0.0
MSFT,2024-03-06 05:00:00 UTC,402.97,405.16,398.39,409.44500000000005,22344149.0,407.21939048491333,6.8736911016993165,409.44500000000005,420.1555014871111,398.734498512889,0.05231716829909296,1.7094906865874102,38939080.0,2.3534490238297963,0.0
MSFT,2024-03-07 05:00:00 UTC,406.12,409.78,402.24,409.19950000000006,18718479.0,407.40230567682636,6.931998880149365,409.19950000000006,419.68836221315075,398.71063778684936,0.05126527384882286,1.6942853009115133,57657559.0,2.259802997970951,0.0
