symbol,date,open,high,low,close,volume,ema,atr,bb_middle,bb_upper,bb_lower,bb_width,volatility,obv,macd_12_26,macd_signal_12_26_9
GOOGL,2022-11-23 05:00:00 UTC,97.09,98.76,97.09,93.271,21285403.0,95.68203807245393,3.206608720715991,93.271,102.91918804914033,83.62281195085967,0.20688505642997995,3.2567628688970047,-402523320.0,0.07546869738965256,0.0
GOOGL,2022-11-25 05:00:00 UTC,98.24,98.64,97.4,93.533,11161000.0,95.85136777983926,3.066136669236277,93.533,103.34422901255687,83.72177098744314,0.20979181706043568,3.146046243829548,-413684320.0,0.18259005282092744,0.0
GOOGL,2022-11-28 05:00:00 UTC,97.0363,97.58,95.61,93.521,31644543.0,95.87028513414029,2.987841192862257,93.521,103.31860851593767,83.72339148406233,0.20952745406780654,3.1107144121418604,-445328863.0,0.15195760989307416,0.0
GOOGL,2022-11-29 05:00:00 UTC,95.73,96.12,94.11,93.55499999999999,22388911.0,95.80549607374599,2.9179953933720957,93.55499999999999,103.37176010440123,83.73823989559875,0.20986072587037016,3.065443211862691,-467717774.0,0.05762213341233746,0.0
GOOGL,2022-11-30 05:00:00 UTC,94.82,101.04,94.42,94.08099999999999,52540207.0,96.29925835243684,3.182424293845518,94.08099999999999,104.3200396342418,83.84196036575818,0.21766434528208262,3.1512271451089395,-415177567.0,0.4457339722560647,0.0
GOOGL,2022-12-01 05:00:00 UTC,101.02,102.25,100.25,94.782,35110988.0,96.74599565220475,3.097965415713695,94.782,104.8900491115794,84.67395088842059,0.21329047944924998,3.0675962132029855,-415177567.0,0.7447306098429607,0.0
GOOGL,2022-12-02 05:00:00 UTC,99.05,100.77,98.9,95.6325,23884698.0,97.09780559009002,3.025967886019859,95.6325,104.50585663065183,86.75914336934815,0.18557198924323512,3.01271195342479,-439062265.0,0.9266256323416258,0.0
GOOGL,2022-12-05 05:00:00 UTC,99.4,101.38,99.0,96.2775,27457664.0,97.32468124817669,2.9798273227327257,96.2775,104.20524176381147,88.34975823618853,0.1646852434641836,2.9954034205194264,-466519929.0,0.9819949447569059,0.0
GOOGL,2022-12-06 05:00:00 UTC,99.3,99.78,96.42,96.702,28230476.0,97.29185446263605,3.006982513966102,96.702,103.73242291158832,89.67157708841168,0.1454038781325788,3.1006212765169123,-494750405.0,0.8147544351704994,0.0
GOOGL,2022-12-07 05:00:00 UTC,96.41,96.8811,94.715,97.00399999999999,36576012.0,97.06786832333738,2.953983762968523,97.00399999999999,103.0770098321219,90.93099016787808,0.12521153420728862,3.111421701041208,-531326417.0,0.5117055523302128,0.0
GOOGL,2022-12-08 05:00:00 UTC,95.38,95.58,93.45,97.3235,35359625.0,96.7480713401624,2.8951277798993424,97.3235,101.68157429708859,92.9654257029114,0.08955851972213479,3.089454465798039,-566686042.0,0.17032303099006185,0.0
GOOGL,2022-12-09 05:00:00 UTC,93.77,94.26,92.75,97.268,31756579.0,96.37492168871836,2.796190081335104,97.268,101.83095656691752,92.70504343308248,0.09382235816337378,3.0121621042067264,-598442621.0,-0.16928234078346804,0.0
GOOGL,2022-12-12 05:00:00 UTC,92.71,93.56,91.61,97.113,33297446.0,96.0830243850309,2.735747932668311,97.113,101.99792460750925,92.22807539249075,0.10060289780995846,2.9318914721555145,-565145175.0,-0.395135183731,0.0
GOOGL,2022-12-13 05:00:00 UTC,97.76,99.53,95.03,97.1095,45140016.0,96.03987920550415,2.98462308033486,97.1095,101.99878570824399,92.22021429175601,0.1006963419283178,3.1210112729633592,-520005159.0,-0.3825112266815722,0.0
GOOGL,2022-12-14 05:00:00 UTC,95.2,96.87,93.6,96.941,31890889.0,95.94750975736089,3.005007146025228,96.941,101.8693450836112,92.01265491638881,0.10167720744805997,3.1608363795363714,-551896048.0,-0.41293392441569665,0.0
GOOGL,2022-12-15 05:00:00 UTC,93.13,93.64,90.01,96.5415,45143250.0,95.46298501856462,3.151792349880568,96.5415,102.07632857624495,91.00667142375505,0.11466216241191504,3.4688447610395863,-597039298.0,-0.7679040274904025,0.0
GOOGL,2022-12-16 05:00:00 UTC,90.76,91.33,89.52,96.1365,84144765.0,94.96746263584419,3.0559500391748133,96.1365,102.26465512721035,90.00834487278965,0.1274886255940324,3.3857190773042465,-681184063.0,-1.0851267119222712,0.0
GOOGL,2022-12-19 05:00:00 UTC,90.255,90.56,88.21,95.687,33146650.0,94.34579952766855,3.0055250363766133,95.687,102.67427896741053,88.69972103258947,0.14604447767012305,3.3983774721580886,-714330713.0,-1.4664820719538199,0.0
GOOGL,2022-12-20 05:00:00 UTC,88.11,89.175,87.4401,95.35799999999999,26190325.0,93.83858052503345,2.914766105206855,95.35799999999999,102.95552480469074,87.76047519530924,0.15934740251873467,3.2742823019623177,-688140388.0,-1.7022849087653924,0.0
GOOGL,2022-12-21 05:00:00 UTC,89.08,90.22,88.32,94.9845,29682843.0,93.43300142741123,2.842282811977794,94.9845,102.95700135746199,87.011998642538,0.16786952307928124,3.1728988747240385,-658457545.0,-1.8229590981902248,0.0
GOOGL,2022-12-22 05:00:00 UTC,88.16,88.54,86.32,94.4495,31634643.0,92.89271557718158,2.8721197539793804,94.4495,102.8638173097685,86.0351826902315,0.17817600537363368,3.2726979876702145,-690092188.0,-2.0419151258229107,0.0
GOOGL,2022-12-23 05:00:00 UTC,87.11,89.545,87.07,94.038,25222960.0,92.5438855222119,2.843754057266568,94.038,102.63539152607508,85.44060847392491,0.18284930615442876,3.1869932279127737,-664869228.0,-2.072927225810645,0.0
GOOGL,2022-12-27 05:00:00 UTC,88.795,88.94,87.01,93.60499999999999,22456258.0,92.05303928200124,2.7992001960332415,93.60499999999999,102.63704703731145,84.57295296268853,0.1929821491867199,3.2031127085859272,-687325486.0,-2.220381979637949,0.0
GOOGL,2022-12-28 05:00:00 UTC,86.98,88.04,85.94,93.1465,21565497.0,91.47846411228684,2.7492573248880103,93.1465,102.75253379460815,83.54046620539185,0.20625646255325003,3.1960675713648112,-708890983.0,-2.4198934593643173,0.0
GOOGL,2022-12-29 05:00:00 UTC,86.62,88.845,86.61,92.5195,26836109.0,91.19003895873571,2.754667515967438,92.5195,101.59212504808579,83.4468749519142,0.19612352094608806,3.1143781978150797,-682054874.0,-2.3547825849691577,0.0
GOOGL,2022-12-30 05:00:00 UTC,86.98,88.3,86.57,91.8815,28023292.0,90.90813048647517,2.6921912648269073,91.8815,100.21019554454239,83.55280445545762,0.18129211091552455,3.0513331801279695,-710078166.0,-2.2944845200160415,0.0
GOOGL,2023-01-03 05:00:00 UTC,89.585,91.05,88.52,91.3155,33269171.0,90.73783234490611,2.7013204601964134,91.3155,98.67777789406713,83.95322210593287,0.1612492489022594,3.0311046456422948,-676808995.0,-2.1500973235995815,0.0
GOOGL,2023-01-04 05:00:00 UTC,90.35,90.65,87.271,90.7455,39823023.0,90.48470545491504,2.7497261416109557,90.7455,97.1490564953758,84.34194350462421,0.14113221031072162,3.12185075114777,-716632018.0,-2.095433881124009,0.0
GOOGL,2023-01-05 05:00:00 UTC,87.47,87.57,85.9,90.2065,31635307.0,90.07663826873267,2.7090314172101726,90.2065,96.20226087090275,84.21073912909726,0.1329341205102236,3.1427278621927757,-748267325.0,-2.1786983192856013,0.0
GOOGL,2023-01-06 05:00:00 UTC,86.79,87.69,84.86,89.8265,46119929.0,89.81600605266289,2.7176720302665887,89.8265,95.51455313099731,84.13844686900268,0.12664532473150614,3.111600675826183,-702147396.0,-2.128165348394731,0.0
GOOGL,2023-01-09 05:00:00 UTC,88.36,90.05,87.86,89.542,32452249.0,89.64495785717119,2.717124028104689,89.542,94.97570223696476,84.10829776303524,0.12136655953551993,3.0869393638998965,-669695147.0,-2.0100763786267066,0.0
GOOGL,2023-01-10 05:00:00 UTC,85.98,88.67,85.83,89.3215,34301160.0,89.52829520410728,2.7259008832400684,89.3215,94.5473437747306,84.0956562252694,0.11701200214350646,3.0829007953404983,-635393987.0,-1.8627408452913556,0.0
GOOGL,2023-01-11 05:00:00 UTC,89.18,91.6,89.01,89.232,30560593.0,89.71798137514469,2.758336534437206,89.232,94.2264162505949,84.2375837494051,0.11194226848204446,3.0139166678728215,-604833394.0,-1.4787857596834186,0.0
GOOGL,2023-01-12 05:00:00 UTC,91.48,91.87,89.75,89.007,33012280.0,89.85245933941663,2.7127410676916917,89.007,93.11451352626099,84.89948647373902,0.09229641547880475,2.9767815951845624,-637845674.0,-1.1922250999087396,0.0
GOOGL,2023-01-13 05:00:00 UTC,90.85,92.19,90.1299,88.8595,29632844.0,90.06841559280551,2.666123848570856,88.8595,92.18835613355259,85.5306438664474,0.07492403476392713,2.8941856801681025,-608212830.0,-0.8751507926788804,0.0
GOOGL,2023-01-17 05:00:00 UTC,92.06,92.25,90.05,88.881,37203557.0,90.18475696491927,2.6328292879586526,88.881,92.26928259555845,85.49271740444155,0.07624312497740689,2.8840281388527247,-645416387.0,-0.6829683492061633,0.0
GOOGL,2023-01-18 05:00:00 UTC,92.14,92.7999,90.64,88.924,32654449.0,90.27382773016505,2.599048624533034,88.924,92.40648791889636,85.44151208110365,0.07832503978445308,2.8523360673101776,-678070836.0,-0.538176197206667,0.0
GOOGL,2023-01-19 05:00:00 UTC,90.72,93.605,90.63,89.1545,40555189.0,90.53822508919694,2.6259022942092467,89.1545,93.08370763406246,85.22529236593753,0.0881437871125398,2.8220336316058536,-637515647.0,-0.2646418764411749,0.0
GOOGL,2023-01-20 05:00:00 UTC,95.1,98.3,95.02,89.6045,70017168.0,91.250775080702,2.813337844622872,89.6045,95.18383584049646,84.02516415950355,0.12453249201762087,2.8701671542775675,-567498479.0,0.3491487381350993,0.0
GOOGL,2023-01-23 05:00:00 UTC,97.95,100.04,97.5,90.115,43386638.0,92.06403459682562,2.793813712864096,90.115,97.31725549467123,82.91274450532876,0.15984587459737526,2.7996930683075414,-524111841.0,0.967256498978216,0.0
GOOGL,2023-01-24 05:00:00 UTC,98.1,99.61,97.2,90.612,35872983.0,92.60079320665176,2.779255590516661,90.612,98.4718288450627,82.75217115493729,0.17348317761582813,2.844683306567718,-559984824.0,1.2737824483683795,0.0
GOOGL,2023-01-25 05:00:00 UTC,95.57,96.162,93.76,90.9115,45502512.0,92.85024147268493,2.8621659054797566,90.9115,99.0026915068175,82.82030849318251,0.17800149611033794,3.0058453113629033,-605487336.0,1.30158730959009,0.0
GOOGL,2023-01-26 05:00:00 UTC,96.5,97.57,95.38,91.418,33009603.0,93.29498038004827,2.8255826265169164,91.418,99.8424071476555,82.9935928523445,0.1843052166456387,2.8974391166088154,-572477733.0,1.4920146246829944,0.0
GOOGL,2023-01-27 05:00:00 UTC,97.31,100.32,97.31,92.0855,37084693.0,93.87355367718652,2.8387552960514215,92.0855,100.81892393819318,83.35207606180681,0.18968076273014067,2.856752838936723,-535393040.0,1.7717851464830545,0.0
GOOGL,2023-01-30 05:00:00 UTC,97.48,98.29,96.395,92.51,30070709.0,94.16559618412114,2.8484870606191777,92.51,101.3243495446194,83.69565045538062,0.19055992962100074,2.9384021669271485,-565463749.0,1.7769411376769995,0.0
GOOGL,2023-01-31 05:00:00 UTC,96.87,98.88,96.82,93.0405,34905143.0,94.61077749991912,2.7921665562892364,93.0405,102.04532321051482,84.03567678948517,0.19356781639210513,2.8249358117050147,-530558606.0,1.9122976420292304,0.0
GOOGL,2023-02-01 05:00:00 UTC,98.71,101.19,97.58,93.60600000000001,38935955.0,95.1649891665935,2.850583230840005,93.60600000000001,102.98684363841633,84.22515636158369,0.20043252865022163,2.8383782045603954,-491622651.0,2.123391226441612,0.0
GOOGL,2023-02-02 05:00:00 UTC,105.8,107.85,105.61,94.589,70957859.0,96.36260924596554,3.176970142922861,94.589,105.52333587615756,83.65466412384244,0.23119677501945388,2.9487378345302218,-420664792.0,2.8477136503949936,0.0
GOOGL,2023-02-03 05:00:00 UTC,102.93,107.81,102.58,95.518,68909400.0,97.16426550825454,3.3236151327140853,95.518,106.60738724518532,84.42861275481468,0.23219471189064514,3.1719938277477433,-489574192.0,3.146624795653125,0.0
GOOGL,2023-02-06 05:00:00 UTC,102.4,104.36,101.88,96.296,34999236.0,97.71052593603983,3.2933569089487937,96.296,107.15041923099068,85.44158076900933,0.22543863153174942,3.2005412137500424,-524573428.0,3.194983957372145,0.0
GOOGL,2023-02-07 05:00:00 UTC,103.22,108.18,103.12,97.277,53112133.0,98.65619013260746,3.4352599868810225,97.277,108.52150200156292,86.03249799843708,0.2311852133919204,3.191434398811801,-471461295.0,3.574581774019549,0.0
GOOGL,2023-02-08 05:00:00 UTC,102.05,103.14,98.035,97.8245,100117678.0,98.72417202474008,3.875955702103807,97.8245,108.29273259601186,87.35626740398814,0.21402067163158225,3.900529035024461,-571578973.0,3.171536396475261,0.0
